"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 29, 2022","1,232.00","1,243.17","1,243.17","1,232.00","142.29K","-0.33%"
"Jul 28, 2022","1,236.14","1,228.73","1,240.65","1,226.95","180.06K","1.37%"
"Jul 27, 2022","1,219.43","1,218.13","1,219.43","1,211.42","95.58K","0.08%"
"Jul 26, 2022","1,218.49","1,221.43","1,227.10","1,218.11","93.44K","-0.34%"
"Jul 25, 2022","1,222.60","1,228.11","1,231.84","1,219.61","94.34K","-0.51%"
"Jul 22, 2022","1,228.84","1,238.46","1,241.65","1,228.84","106.14K","-0.52%"
"Jul 21, 2022","1,235.25","1,227.31","1,240.91","1,226.88","127.72K","0.79%"
"Jul 20, 2022","1,225.62","1,220.25","1,229.62","1,217.45","123.38K","1.15%"
"Jul 19, 2022","1,211.70","1,213.55","1,213.64","1,204.61","100.59K","-0.21%"
"Jul 18, 2022","1,214.28","1,225.40","1,225.69","1,213.28","104.04K","-0.48%"
"Jul 15, 2022","1,220.14","1,224.15","1,228.48","1,217.21","147.67K","-0.15%"
"Jul 14, 2022","1,221.94","1,213.73","1,224.01","1,211.14","106.76K","0.41%"
"Jul 13, 2022","1,216.94","1,216.83","1,225.85","1,213.41","117.18K","-0.21%"
"Jul 12, 2022","1,219.44","1,208.06","1,219.44","1,204.84","88.68K","0.86%"
"Jul 11, 2022","1,209.02","1,224.20","1,224.20","1,200.15","131.00K","-1.83%"
"Jul 08, 2022","1,231.54","1,235.65","1,236.85","1,225.04","115.99K","0.19%"
"Jul 07, 2022","1,229.23","1,212.36","1,229.23","1,209.97","98.64K","1.43%"
"Jul 06, 2022","1,211.94","1,241.19","1,241.19","1,211.94","131.18K","-2.42%"
"Jul 05, 2022","1,242.05","1,252.48","1,256.47","1,239.80","162.03K","-0.51%"
"Jul 04, 2022","1,248.37","1,256.20","1,260.72","1,244.50","112.84K","-0.31%"
"Jul 01, 2022","1,252.24","1,247.70","1,255.67","1,225.64","118.89K","0.27%"
"Jun 30, 2022","1,248.92","1,273.99","1,276.23","1,248.92","118.01K","-1.92%"
